statusId | label
30|S8
statusId|sensorName|value|timestamp
30|LSM6DSL Acceleration Sensor|[0.083799616,0.076616794,10.094262]|1596069942029
30|LSM6DSL Acceleration Sensor|[0.083799616,0.076616794,10.094262]|1596069942031
30|LSM6DSL Acceleration Sensor|[0.07901107,0.076616794,10.099051]|1596069942032
30|LSM6DSL Gyroscope Sensor|[-0.024033273,-0.032860886,-0.06395393]|1596069942032
30|LSM6DSL Acceleration Sensor|[0.05027977,0.105348095,10.1206]|1596069942034
30|LSM6DSL Gyroscope Sensor|[-0.024033273,-0.032860886,-0.06395393]|1596069942034
30|LSM6DSL Acceleration Sensor|[0.05027977,0.12450229,10.122993]|1596069942036
30|LSM6DSL Gyroscope Sensor|[-0.024033273,-0.032860886,-0.06395393]|1596069942036
30|LSM6DSL Acceleration Sensor|[0.047885496,0.14126222,10.127783]|1596069942038
30|LSM6DSL Gyroscope Sensor|[-0.024033273,-0.032860886,-0.06395393]|1596069942039
30|LSM6DSL Acceleration Sensor|[0.043096945,0.14844504,10.122993]|1596069942041
30|LSM6DSL Gyroscope Sensor|[-0.049078748,0.001958434,-0.06700826]|1596069942041
30|LSM6DSL Acceleration Sensor|[0.0071828244,0.14365649,10.125388]|1596069942043
30|LSM6DSL Gyroscope Sensor|[-0.048467882,0.007456221,-0.06395393]|1596069942043
30|LSM6DSL Acceleration Sensor|[-0.0023942748,0.14605077,10.132571]|1596069942044
30|LSM6DSL Gyroscope Sensor|[-0.050300475,0.021506123,-0.0608996]|1596069942045
30|LSM6DSL Acceleration Sensor|[-0.03351985,0.15562786,10.142148]|1596069942046
30|LSM6DSL Gyroscope Sensor|[-0.058241725,0.037999485,-0.057845272]|1596069942046
30|LSM6DSL Acceleration Sensor|[-0.047885496,0.14605077,10.144543]|1596069942048
30|Orientation Sensor|[68.06222,0.65595436,-1.1885852]|1596069942048
30|LSM6DSL Gyroscope Sensor|[-0.06129605,0.057547174,-0.048682295]|1596069942048
30|LSM6DSL Acceleration Sensor|[-0.057462595,0.14605077,10.163696]|1596069942051
30|LSM6DSL Gyroscope Sensor|[-0.06435038,0.067931876,-0.043795373]|1596069942051
30|LSM6DSL Acceleration Sensor|[-0.071828246,0.14605077,10.197216]|1596069942052
30|LSM6DSL Gyroscope Sensor|[-0.07045903,0.08747957,-0.037075855]|1596069942053
30|LSM6DSL Acceleration Sensor|[-0.08140534,0.14605077,10.216371]|1596069942054
30|LSM6DSL Gyroscope Sensor|[-0.071069896,0.095420815,-0.034632392]|1596069942055
30|LSM6DSL Acceleration Sensor|[-0.09337672,0.15562786,10.259467]|1596069942056
30|LSM6DSL Gyroscope Sensor|[-0.075345956,0.11496851,-0.02608028]|1596069942057
30|LSM6DSL Acceleration Sensor|[-0.102953814,0.13168511,10.30017]|1596069942058
30|Orientation Sensor|[68.06692,0.68642277,-1.2360551]|1596069942058
30|LSM6DSL Gyroscope Sensor|[-0.07717855,0.13146187,-0.019971628]|1596069942058
30|LSM6DSL Acceleration Sensor|[-0.105348095,0.11013664,10.3193245]|1596069942060
30|LSM6DSL Gyroscope Sensor|[-0.08023287,0.14001398,-0.015084706]|1596069942060
30|LSM6DSL Acceleration Sensor|[-0.12689656,0.117319465,10.360027]|1596069942062
30|LSM6DSL Gyroscope Sensor|[-0.07717855,0.15162042,-0.008976054]|1596069942063
30|LSM6DSL Acceleration Sensor|[-0.12929083,0.11013664,10.391152]|1596069942064
30|LSM6DSL Gyroscope Sensor|[-0.075956814,0.162616,-0.0022565362]|1596069942065
30|LSM6DSL Acceleration Sensor|[-0.13647367,0.10055954,10.405519]|1596069942066
30|LSM6DSL Gyroscope Sensor|[-0.075956814,0.16139425,0.0014086553]|1596069942067
30|LSM6DSL Acceleration Sensor|[-0.15562786,0.08619389,10.439038]|1596069942068
30|Orientation Sensor|[68.05866,0.713791,-1.3095251]|1596069942068
30|LSM6DSL Gyroscope Sensor|[-0.071069896,0.1662812,0.013625961]|1596069942069
30|LSM6DSL Acceleration Sensor|[-0.1699935,0.071828246,10.460587]|1596069942070
30|LSM6DSL Gyroscope Sensor|[-0.071069896,0.1662812,0.017291151]|1596069942071
30|LSM6DSL Acceleration Sensor|[-0.17478207,0.062251143,10.477346]|1596069942072
30|LSM6DSL Gyroscope Sensor|[-0.06679384,0.16444859,0.021567209]|1596069942073
